contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250723C00624000,2025-07-18,624.0,5.1,5.11,5.16,-1.1199999,-18.00643,442.0,445,0.13428600097656251,True,REGULAR,USD,2025-07-23,CALL
SPY250723C00625000,2025-07-18,625.0,4.39,4.38,4.42,-1.1700001,-21.043167,3632.0,719,0.13031875549316402,True,REGULAR,USD,2025-07-23,CALL
SPY250723C00626000,2025-07-18,626.0,3.75,3.7,3.72,-1.0100002,-21.21849,1825.0,616,0.1261684063720703,True,REGULAR,USD,2025-07-23,CALL
SPY250723C00627000,2025-07-18,627.0,3.07,3.07,3.08,-1.05,-25.485435,7312.0,636,0.12256736816406251,True,REGULAR,USD,2025-07-23,CALL
SPY250723C00628000,2025-07-18,628.0,2.48,2.49,2.5,-1.0699999,-30.140844,4399.0,734,0.11914943359374999,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00629000,2025-07-18,629.0,1.98,1.98,1.99,-0.98,-33.10811,3564.0,656,0.11615874084472656,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00630000,2025-07-18,630.0,1.52,1.53,1.54,-0.93000007,-37.959187,5337.0,2194,0.11304597900390626,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00631000,2025-07-18,631.0,1.14,1.14,1.15,-0.82000005,-41.836735,2490.0,749,0.10962804443359375,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00632000,2025-07-18,632.0,0.83,0.83,0.84,-0.72999996,-46.794872,2474.0,655,0.10706459350585937,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00633000,2025-07-18,633.0,0.58,0.58,0.59,-0.65000004,-52.84553,2805.0,1343,0.1043790734863281,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00634000,2025-07-18,634.0,0.4,0.4,0.41,-0.54999995,-57.894737,2653.0,859,0.10279217529296875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00635000,2025-07-18,635.0,0.27,0.26,0.27,-0.43999997,-61.971825,2128.0,1694,0.10083906982421875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00636000,2025-07-18,636.0,0.17,0.16,0.17,-0.31,-64.58333,442.0,2659,0.098641826171875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00637000,2025-07-18,637.0,0.11,0.1,0.11,-0.26,-70.27026,1150.0,3202,0.0981535498046875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00638000,2025-07-18,638.0,0.06,0.06,0.07,-0.19999999,-76.92307,1313.0,2643,0.0981535498046875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00639000,2025-07-18,639.0,0.04,0.03,0.04,-0.13,-76.47059,482.0,1850,0.09668872070312501,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00640000,2025-07-18,640.0,0.02,0.02,0.03,-0.08,-80.0,626.0,1574,0.09961837890625,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00641000,2025-07-18,641.0,0.02,0.01,0.02,-0.06,-75.0,297.0,431,0.100594931640625,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00642000,2025-07-18,642.0,0.01,0.01,0.02,-0.04,-80.0,56.0,500,0.10743080078125,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00643000,2025-07-18,643.0,0.01,0.01,0.02,-0.02,-66.66667,26.0,59,0.1132901171875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00644000,2025-07-18,644.0,0.01,0.01,0.02,-0.02,-66.66667,259.0,57,0.11914943359374999,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00645000,2025-07-18,645.0,0.01,0.0,0.01,-0.01,-50.0,122.0,649,0.117196328125,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00646000,2025-07-18,646.0,0.01,0.0,0.01,-0.01,-50.0,131.0,84,0.1211025390625,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00647000,2025-07-16,647.0,0.01,0.0,0.01,-0.01,-50.0,1.0,110,0.1289149609375,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00648000,2025-07-18,648.0,0.01,0.0,0.01,-0.01,-50.0,3.0,55,0.132821171875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00650000,2025-07-17,650.0,0.01,0.0,0.01,0.0,0.0,44.0,544,0.1445398046875,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00655000,2025-07-16,655.0,0.01,0.0,0.01,0.0,0.0,103.0,112,0.17188328125000002,False,REGULAR,USD,2025-07-23,CALL
SPY250723C00660000,2025-07-15,660.0,0.02,0.0,0.01,0.0,0.0,20.0,30,0.1992267578125,False,REGULAR,USD,2025-07-23,CALL
