contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250723P00575000,2025-07-18,575.0,0.03,0.02,0.03,-0.01,-25.0,607.0,395,0.3711000390625,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00580000,2025-07-18,580.0,0.04,0.02,0.03,-0.010000002,-20.000004,79.0,652,0.3398503515625,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00585000,2025-07-18,585.0,0.04,0.03,0.04,-0.010000002,-20.000004,20.0,520,0.31641308593749995,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00590000,2025-07-18,590.0,0.04,0.03,0.04,-0.04,-50.0,47.0,1009,0.28125718749999995,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00591000,2025-07-18,591.0,0.04,0.03,0.04,-0.21000001,-84.0,25.0,382,0.27539787109374997,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00593000,2025-07-18,593.0,0.05,0.03,0.04,-0.05,-50.0,120.0,171,0.2617261328125,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00594000,2025-07-18,594.0,0.04,0.03,0.04,-0.050000004,-55.555557,82.0,433,0.25391371093750004,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00595000,2025-07-18,595.0,0.05,0.04,0.05,-0.05,-50.0,5.0,699,0.25391371093750004,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00596000,2025-07-18,596.0,0.05,0.04,0.05,-0.06,-54.545456,292.0,821,0.24805439453125,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00598000,2025-07-18,598.0,0.05,0.04,0.05,-0.05,-50.0,41.0,559,0.233406103515625,False,REGULAR,USD,2025-07-23,PUT
SPY250723P00599000,2025-07-18,599.0,0.06,0.04,0.05,-0.05,-45.454548,39.0,278,0.22657023437499998,False,REGULAR,USD,2025-07-23,PUT
